iter	Passed	Remaining
432	1639	2146
433	1642	2142
434	1646	2137
435	1650	2135
436	1654	2131
437	1657	2126
438	1660	2122
439	1664	2117
440	1667	2113
441	1670	2109
442	1673	2104
443	1677	2100
444	1681	2096
445	1685	2093
446	1689	2090
447	1693	2086
448	1698	2084
449	1702	2080
450	1705	2076
451	1709	2072
452	1714	2069
453	1718	2066
454	1722	2062
455	1725	2059
456	1730	2055
457	1733	2051
458	1736	2046
459	1739	2042
460	1743	2037
461	1747	2035
462	1750	2030
463	1754	2026
464	1757	2022
465	1762	2019
466	1765	2015
467	1768	2010
468	1772	2006
469	1775	2002
470	1779	1998
471	1784	1995
472	1787	1991
473	1791	1988
474	1795	1984
475	1798	1980
476	1802	1976
477	1806	1972
478	1810	1969
479	1814	1965
480	1817	1960
481	1820	1956
482	1824	1953
483	1828	1949
484	1831	1944
485	1835	1941
486	1838	1937
487	1843	1934
488	1847	1930
489	1851	1926
490	1854	1922
491	1859	1919
492	1863	1916
493	1867	1912
494	1871	1909
495	1875	1905
496	1878	1901
497	1882	1897
498	1885	1893
499	1889	1889
500	1894	1886
501	1898	1883
502	1902	1879
503	1907	1877
504	1911	1873
505	1914	1869
506	1918	1865
507	1923	1862
508	1927	1859
509	1931	1855
510	1934	1851
511	1938	1847
512	1942	1844
513	1946	1840
514	1949	1835
515	1953	1832
516	1957	1828
517	1960	1823
518	1963	1819
519	1966	1815
520	1970	1811
521	1973	1807
522	1976	1803
523	1979	1798
524	1983	1794
525	1987	1791
526	1992	1788
527	1995	1783
528	1998	1779
529	2002	1775
530	2005	1771
531	2009	1767
532	2012	1763
533	2016	1759
534	2020	1755
535	2023	1752
536	2027	1748
537	2032	1745
538	2035	1741
539	2039	1736
540	2042	1732
541	2046	1729
542	2050	1725
543	2053	1721
544	2056	1717
545	2060	1712
546	2065	1710
547	2068	1706
548	2072	1702
549	2075	1698
550	2079	1694
551	2083	1691
552	2087	1687
553	2091	1684
554	2097	1681
555	2100	1677
556	2103	1673
557	2107	1669
558	2110	1664
559	2114	1661
560	2118	1657
561	2121	1653
562	2128	1651
563	2131	1647
564	2134	1643
565	2138	1639
566	2141	1635
567	2145	1631
568	2148	1627
569	2151	1622
570	2154	1618
571	2157	1614
572	2161	1610
573	2164	1606
574	2168	1602
575	2171	1598
576	2174	1593
577	2177	1589
578	2180	1585
579	2185	1582
580	2188	1578
581	2192	1574
582	2195	1570
583	2198	1566
584	2201	1561
585	2204	1557
