iter	Logloss
0	0.6914651927
1	0.6901875989
2	0.6892073411
3	0.6875150789
4	0.6853741526
5	0.6828484485
6	0.6808082862
7	0.6793611187
8	0.6771583743
9	0.6752415975
10	0.6736943205
11	0.6718163034
12	0.6708322461
13	0.6686648854
14	0.6673707506
15	0.6667632104
16	0.6657575271
17	0.6635596754
18	0.6622079006
19	0.6602698164
20	0.658759397
21	0.6575215069
22	0.656020916
23	0.6546713047
24	0.6529882267
25	0.6515149199
26	0.6505663937
27	0.6490555808
28	0.6466716155
29	0.6439289882
30	0.6421361703
31	0.6401728223
32	0.6385099936
33	0.6361988572
34	0.6345626037
35	0.6335927396
36	0.632131706
37	0.6314398163
38	0.6302898034
39	0.6285632742
40	0.6259389026
41	0.6243160111
42	0.6227495945
43	0.6208850072
44	0.6192474244
45	0.6174644453
46	0.6162516712
47	0.6152611967
48	0.614132723
49	0.6127408653
50	0.6113985237
51	0.6101232417
52	0.6085769728
53	0.6078704614
54	0.6070188188
55	0.6054072434
56	0.6039585319
57	0.6023554823
58	0.6009154461
59	0.5993119178
60	0.5983970278
61	0.5970776062
62	0.5955457325
63	0.5938478452
64	0.5927489412
65	0.5907907467
66	0.5896084042
67	0.5883561771
68	0.5874560903
69	0.5855998478
70	0.5835041029
71	0.5825921414
72	0.5811523176
73	0.5797385373
74	0.5784264313
75	0.5769751972
76	0.5758298646
77	0.5746476829
78	0.5723889656
79	0.5710264459
80	0.5692559912
81	0.5675275972
82	0.5659697881
83	0.5643433891
84	0.5633562193
85	0.5614956282
86	0.560421387
87	0.5594469464
88	0.5582253753
89	0.5570194449
90	0.5560083442
91	0.5547347572
92	0.5535703808
93	0.5526606025
94	0.5516728549
95	0.5506298907
96	0.5494572014
97	0.5483613964
98	0.5476607085
99	0.5463015923
100	0.5448539212
101	0.5433712536
102	0.5426515559
103	0.5411970724
104	0.5406206883
105	0.5389802677
106	0.5377536605
107	0.536642162
108	0.5347739956
109	0.5333547445
110	0.5322037248
111	0.5313569522
112	0.5304940319
113	0.529071389
114	0.5275899964
115	0.5260652743
116	0.5241445861
117	0.523052855
118	0.5215773359
119	0.5200789257
120	0.519276895
121	0.5192098703
122	0.5178632945
123	0.5170117537
124	0.5158978541
125	0.514342202
126	0.5133063786
127	0.511874433
128	0.5106675526
129	0.5097827342
130	0.5088298381
131	0.5078262426
132	0.5065550356
133	0.5053463947
134	0.5043938826
135	0.5033995237
136	0.5015257541
137	0.5000825788
138	0.4986944147
139	0.4979588506
140	0.4968665214
141	0.4958184533
142	0.4949038899
143	0.4934390398
144	0.4918362891
145	0.4904754975
146	0.4891334995
147	0.4884978003
148	0.4875293689
149	0.4867412244
150	0.4853407661
151	0.484477803
152	0.4836997773
153	0.4827737448
154	0.4815940547
155	0.4806500326
156	0.4796999664
157	0.4792433939
158	0.4781939156
159	0.4768872903
160	0.4759837424
161	0.4751976947
162	0.4746477509
163	0.4737503954
164	0.4726013666
165	0.4712121981
166	0.470441432
167	0.4693287978
168	0.468234296
169	0.4676330398
170	0.4665808379
171	0.4654311101
172	0.4643418949
173	0.4635209655
174	0.463016707
175	0.4624406759
176	0.4616050309
177	0.4607413734
178	0.459679677
179	0.4588537267
180	0.4581957729
181	0.4570956815
182	0.456254056
183	0.4549500149
184	0.4541792717
185	0.4534466217
186	0.4524539014
187	0.4515581781
188	0.450251382
189	0.4493931211
190	0.4482943059
191	0.4474182004
192	0.4464422221
193	0.4454726154
194	0.4451510855
195	0.444433402
196	0.4435840658
197	0.4428520083
198	0.4422051754
199	0.4411582719
200	0.4402915519
201	0.4397413053
202	0.4390901592
203	0.4383352755
204	0.4376368838
205	0.4369091723
206	0.4363221596
207	0.4357929034
208	0.4348096288
209	0.434435021
210	0.4333063857
211	0.4328121388
212	0.4314968564
213	0.4308111884
214	0.4302561327
215	0.429443732
216	0.4284706082
217	0.4278064723
218	0.4274729457
219	0.4267235699
220	0.425926701
221	0.4254704621
222	0.4248580178
223	0.4237549596
224	0.4231780742
225	0.4220471413
226	0.4211934489
227	0.4207069917
228	0.4200583115
229	0.4189010147
230	0.4182366782
231	0.4173591437
232	0.4168830317
233	0.4165618245
234	0.4157612449
235	0.4150487255
236	0.4146841823
237	0.4137875649
238	0.4129262955
239	0.4122746142
240	0.4113010522
241	0.4107287909
242	0.4098750568
243	0.4089185574
244	0.4084123561
245	0.4076490988
246	0.4068386833
247	0.4063706724
248	0.4054353327
249	0.404981471
250	0.4042200429
251	0.403194068
252	0.4025136568
253	0.4014467101
254	0.4006257177
255	0.4000816291
256	0.3992016593
257	0.3986729734
258	0.3982465367
259	0.3977878093
260	0.3970406183
261	0.39644031
262	0.3961585953
263	0.3952610845
264	0.3944380969
265	0.3937679315
266	0.393207924
267	0.3923211946
268	0.3917337714
269	0.3910869558
270	0.3904511449
271	0.3899348372
272	0.388765957
273	0.3879482222
274	0.3871372313
275	0.3867644995
276	0.3860815425
277	0.385445437
278	0.3848150717
279	0.3846256286
280	0.3840524843
281	0.3831925305
282	0.3826366797
283	0.3815439746
284	0.3809474898
285	0.3804307367
286	0.3791403017
287	0.378657221
288	0.3779999318
289	0.3770850402
290	0.3763123214
291	0.3755808607
292	0.374847531
293	0.3741208941
294	0.3735738962
295	0.372655208
296	0.37218504
297	0.3714828421
298	0.3703815987
299	0.3699066214
300	0.3690543238
301	0.3685002045
302	0.368208444
303	0.3676853772
304	0.3672256072
305	0.3667087686
306	0.3659886906
307	0.365234382
308	0.3646935267
309	0.3639448115
310	0.3632443431
311	0.3626021044
312	0.361964762
313	0.3615432587
314	0.3610346368
315	0.3599977987
316	0.3595710275
317	0.3591274821
318	0.3587506082
319	0.3580609553
320	0.357701055
321	0.3573504386
322	0.3568123857
323	0.3561341636
324	0.3554910749
325	0.3546794955
326	0.3540089423
327	0.3535608951
328	0.3529990996
329	0.3527144581
330	0.3522722179
331	0.3516368786
332	0.3511458449
333	0.3504039609
334	0.3500801817
335	0.349321736
336	0.3490437762
337	0.3487481484
338	0.3478704024
339	0.3474365926
340	0.3466853112
341	0.3461936336
342	0.3456082867
343	0.3445614992
344	0.3440557868
345	0.3433307102
346	0.3425117897
347	0.3423775949
348	0.3419176842
349	0.3415102783
350	0.3407314515
351	0.3398573239
352	0.339399741
353	0.3388729659
354	0.3383756155
355	0.3379134804
356	0.3375319187
357	0.3369637704
358	0.3361057033
359	0.3356110902
360	0.3351335095
361	0.3348761401
362	0.3339346767
363	0.3332063424
364	0.3328136777
365	0.3323818635
366	0.3320124061
367	0.3312365381
368	0.3309313936
369	0.3302138671
370	0.3297087434
371	0.3291979087
372	0.3287180682
373	0.3278019108
374	0.3272796595
375	0.3266865402
376	0.3266602509
377	0.3262808928
378	0.3255628545
379	0.3251057487
380	0.3247487503
381	0.3244387439
382	0.3240052265
383	0.3237939521
384	0.3231426934
385	0.3227517411
386	0.3218139961
387	0.3214633818
388	0.3205921389
389	0.3200332538
390	0.3195039725
391	0.3189912583
392	0.3183382017
393	0.3176957245
394	0.3171609855
395	0.3164480245
396	0.3157278845
397	0.3151496686
398	0.3146852417
399	0.3140306299
400	0.3136714927
401	0.3131597287
402	0.3126159779
403	0.3118030802
404	0.3114032283
405	0.310758912
406	0.3103596731
407	0.3098530762
408	0.3091541026
409	0.3088417016
410	0.3083880587
411	0.3078718453
412	0.3073865313
413	0.3068375332
414	0.3062487457
415	0.3057261617
416	0.3049517612
417	0.3042390586
418	0.3040297577
419	0.3038108505
420	0.303087808
421	0.3025194495
422	0.3022888337
423	0.3015984832
424	0.3012443532
425	0.3009250044
426	0.3006352105
427	0.3001322403
428	0.2996196038
429	0.299088741
430	0.2984869984
431	0.2980404874
432	0.2973415395
433	0.2968964911
434	0.2964888764
435	0.2960800351
436	0.2958280152
437	0.295430095
438	0.2952522944
439	0.2947079882
440	0.2939055639
441	0.2934354541
442	0.2929093589
443	0.2925606375
444	0.2919983286
445	0.2916285023
446	0.2912915091
447	0.2905377277
448	0.2900509861
449	0.2893746444
450	0.2887693549
451	0.2883862417
452	0.2881548245
453	0.2875161579
454	0.2872151555
455	0.2866710223
456	0.2860455804
457	0.2856487458
458	0.285280524
459	0.2848755508
460	0.2846383937
461	0.2843103689
462	0.2837841352
463	0.2834233682
464	0.2829981701
465	0.2824716278
466	0.2817888482
467	0.2814051596
468	0.2811180096
469	0.2804590395
470	0.2801625326
471	0.2796765622
472	0.2792361197
473	0.2786700749
474	0.278408848
475	0.2778643776
476	0.2769698065
477	0.2765114095
478	0.2758841957
479	0.2753977778
480	0.274803414
481	0.2742015267
482	0.2739959199
483	0.2736347756
484	0.2733762927
485	0.2730802767
486	0.2727290149
487	0.2722224849
488	0.2720876096
489	0.2717202383
490	0.2715556673
491	0.271287231
492	0.2709574238
493	0.2704886938
494	0.2701944841
495	0.2699249753
496	0.2695627027
497	0.269113534
498	0.2687285457
499	0.2683119067
500	0.2677768531
501	0.2672049489
502	0.266846933
503	0.26654658
504	0.2661855814
505	0.265951685
506	0.2654534528
507	0.2651049331
508	0.2647881474
509	0.2639738747
510	0.2636884055
511	0.2633160766
512	0.2630549591
513	0.2628340795
514	0.2624290197
515	0.2621656854
516	0.2616161795
517	0.2611765119
518	0.2608178572
519	0.2601773417
520	0.2598159316
521	0.2594121712
522	0.2590613253
523	0.258667476
524	0.2583908886
525	0.2579817186
526	0.2577539697
527	0.2574055866
528	0.2568257852
529	0.2563840054
530	0.2560689088
531	0.2558933984
532	0.2554765393
533	0.2550915449
534	0.2546564184
535	0.2540988149
536	0.2536389945
537	0.2532167357
538	0.252730208
539	0.2525046497
540	0.252061395
541	0.25174894
542	0.251399582
543	0.2509993961
544	0.2505931546
545	0.2501765442
546	0.2498909599
547	0.2495229259
548	0.2490096452
549	0.2485418105
550	0.2484104316
551	0.2481785826
552	0.2479096979
553	0.2473536862
554	0.2468962195
555	0.2467413148
556	0.2464369929
557	0.2461549487
558	0.2457900199
559	0.2454170644
560	0.2451671318
561	0.2449864611
562	0.2448088489
563	0.2446219176
564	0.2443606772
565	0.2439724991
566	0.2437108589
567	0.2433616154
568	0.2428871868
569	0.2424214358
570	0.2421009492
571	0.2417465298
572	0.2414501731
573	0.2410007628
574	0.2407403282
575	0.2402168203
576	0.2400000978
577	0.2396281072
578	0.2393170916
579	0.2389710397
580	0.2386686199
581	0.2383222881
582	0.2381201859
583	0.2379065624
584	0.2376467247
585	0.2372743396
586	0.237037802
587	0.2366607597
588	0.2364973856
589	0.2360773275
590	0.2357871888
591	0.2355457186
592	0.2351527804
593	0.2348133538
594	0.234530245
595	0.2344525117
596	0.2339200467
597	0.2335182439
598	0.2333070039
599	0.2330905953
600	0.2328113065
601	0.232654227
602	0.2323926046
603	0.232054501
604	0.2317093588
605	0.231191841
606	0.230892222
607	0.2307254331
608	0.2304332539
609	0.2301535939
610	0.2298510342
611	0.2293189681
612	0.2289532012
613	0.2284388001
614	0.2281895725
615	0.2277775598
616	0.2274160445
617	0.227141823
618	0.2268583244
619	0.2265181299
620	0.2262203024
621	0.2258110695
622	0.2255703892
623	0.2252946428
624	0.224928884
625	0.2247631547
626	0.2246011113
627	0.224425748
628	0.2242909316
629	0.2237648272
630	0.2233631492
631	0.2230237172
632	0.2227017329
633	0.2222639248
634	0.2218932423
635	0.2215475795
636	0.221239929
637	0.2209873264
638	0.2206998108
639	0.2204834375
640	0.220184557
641	0.2199094212
642	0.2197334752
643	0.2193510269
644	0.219101126
645	0.2188820172
646	0.2186312314
647	0.2182308189
648	0.2177243457
649	0.2174565744
650	0.2171602815
651	0.216849821
652	0.2165463073
653	0.2163358244
654	0.2161204596
655	0.2158489088
656	0.2156603724
657	0.2154117759
658	0.2151715377
659	0.2149255414
660	0.2146257084
661	0.2143336278
662	0.2141052994
663	0.2139193018
664	0.2136727745
665	0.2133986623
666	0.2130872329
667	0.2126433737
668	0.2122222495
669	0.2119559022
670	0.2114585885
671	0.2110096951
672	0.2104921527
673	0.2102933718
674	0.2098910258
675	0.2097413009
676	0.2094386787
677	0.2092070047
678	0.2088815395
679	0.2085476815
680	0.2081261844
681	0.2079379465
682	0.2077340532
683	0.2073518787
684	0.2070148439
685	0.2066775248
686	0.2064361785
687	0.2061647405
688	0.2057906729
689	0.205470105
690	0.2050931357
691	0.2048985137
692	0.2046267421
693	0.2043076511
694	0.2041608729
695	0.2038519296
696	0.2036196125
697	0.2032897024
698	0.2029730614
699	0.2028772302
700	0.2025215057
701	0.2021299084
702	0.2016722643
703	0.2013291357
704	0.2009886509
705	0.2006612581
706	0.2004596416
707	0.2001591229
708	0.1998819773
709	0.1996537614
710	0.199420999
711	0.1991596529
712	0.1989636663
713	0.198722773
714	0.1983932055
715	0.1981873884
716	0.198003223
717	0.197851046
718	0.1975005872
719	0.1972603344
720	0.1971363307
721	0.1969828809
722	0.1967668117
723	0.1966208698
724	0.1962658416
725	0.1960493566
726	0.1958400077
727	0.1953805557
728	0.1950577594
729	0.1947944339
730	0.1945732631
731	0.1945268499
732	0.1942790485
733	0.1939326268
734	0.1934589676
735	0.1931424951
736	0.1929693241
737	0.1926090807
738	0.1924462595
739	0.1921429715
740	0.1918814736
741	0.1916929175
742	0.1914741182
743	0.1912593887
744	0.1909688618
745	0.1906782388
746	0.1904428551
747	0.1903476542
748	0.1901776654
749	0.1899583692
750	0.1896730791
751	0.1894763979
752	0.1890882526
753	0.1889904148
754	0.1887482821
755	0.1885278094
756	0.1880717733
757	0.1877471574
758	0.187556786
759	0.1872152238
760	0.1870024344
761	0.1868563809
762	0.1867205798
763	0.1865761611
764	0.1862391172
765	0.1858919822
766	0.1857807054
767	0.185474741
768	0.1852986995
769	0.1849878575
770	0.18478893
771	0.1844880545
772	0.1841860558
773	0.1839390215
774	0.1836747615
775	0.1834286899
776	0.183219977
777	0.183110722
778	0.1827493278
779	0.1824077897
780	0.1819894505
781	0.1818036416
782	0.181595576
783	0.1815061125
784	0.1813303537
785	0.1812227302
786	0.1810191973
787	0.1807382872
788	0.1804511551
789	0.1801296937
790	0.1800499649
791	0.1798556376
792	0.1797097237
793	0.1796026358
794	0.1793917169
795	0.1791862204
796	0.178970926
797	0.1787602285
798	0.1784200558
799	0.1779453426
800	0.1776231605
801	0.1773447982
802	0.1770350097
803	0.1766447371
804	0.1763704862
805	0.1761011379
806	0.1758328473
807	0.1757249396
808	0.1754245052
809	0.1753302148
810	0.1752027069
811	0.174974641
812	0.1748491
813	0.1746386912
814	0.174513738
815	0.1741195515
816	0.1739953205
817	0.1737905151
818	0.1736134161
819	0.1733339931
820	0.1729217826
821	0.1727371391
822	0.1726234541
823	0.1722400397
824	0.1720423378
825	0.1717017581
826	0.1716003448
827	0.1712926749
828	0.1710666322
829	0.1707873766
830	0.1705374923
831	0.1703648043
832	0.170206244
833	0.1698990592
834	0.169713787
835	0.1695344913
836	0.1693186387
837	0.1691161079
838	0.1689851947
839	0.1687756357
840	0.1683346796
841	0.1680146236
842	0.1677599212
843	0.1675659944
844	0.1673074671
845	0.1670582094
846	0.166885189
847	0.1668052218
848	0.1665680085
849	0.1662371462
850	0.1660682058
851	0.1658604724
852	0.1657253579
853	0.1655932008
854	0.16535811
855	0.16519745
856	0.1649509916
857	0.1647730877
858	0.1644893218
859	0.1642593994
860	0.163944826
861	0.1638201382
862	0.1635042958
863	0.1631358884
864	0.1629919833
865	0.1627907835
866	0.1625435871
867	0.1623678937
868	0.1622690382
869	0.162032897
870	0.1618401079
871	0.1616670106
872	0.1613768669
873	0.161051023
874	0.1609224535
875	0.1606468474
876	0.1604549403
877	0.1603241482
878	0.1600868201
879	0.1598529598
880	0.1597614479
881	0.1595659324
882	0.1591799875
883	0.159029496
884	0.1589257815
885	0.1588272669
886	0.1585139007
887	0.1583314357
888	0.1580894729
889	0.1578357368
890	0.1575692151
891	0.1574330733
892	0.1572570559
893	0.1571467427
894	0.157011358
895	0.1567906087
896	0.1566311632
897	0.1565391839
898	0.1563908424
899	0.1562018788
900	0.1559475693
901	0.1557066191
902	0.1555767018
903	0.1553210069
904	0.1549960889
905	0.1547486386
906	0.1546926819
907	0.1543890045
908	0.1542035397
909	0.1539656682
910	0.1537847839
911	0.1536117331
912	0.1534988152
913	0.1534163905
914	0.1531932433
915	0.1529776327
916	0.1526999984
917	0.1525240642
918	0.1523600714
919	0.1521121508
920	0.1518583505
921	0.1517043639
922	0.1515901719
923	0.1514149207
924	0.1510472329
925	0.1508364795
926	0.1505864571
927	0.1504259504
928	0.1501273911
929	0.1498723185
930	0.1497531432
931	0.1495914514
932	0.1494519261
933	0.1493277085
934	0.1490700586
935	0.1489431713
936	0.1486886513
937	0.1485509148
938	0.1484839724
939	0.1484070534
940	0.1483103531
941	0.1481562562
942	0.1479728906
943	0.1478165954
944	0.1476734396
945	0.1474684118
946	0.1472641987
947	0.1469147771
948	0.1466965608
949	0.1465296266
950	0.1464325552
951	0.1462579553
952	0.1460171868
953	0.1458483533
954	0.145545717
955	0.1454330142
956	0.1452742659
957	0.1450978221
958	0.1449482966
959	0.1447729279
960	0.1446073931
961	0.1444479726
962	0.1443499162
963	0.14413273
964	0.1438922275
965	0.1438137019
966	0.1436000347
967	0.1434920476
968	0.1433182578
969	0.143117085
970	0.1429637623
971	0.1427731617
972	0.1426429637
973	0.1424215988
974	0.1422373418
975	0.1421103827
976	0.142015259
977	0.1418366554
978	0.1417667403
979	0.141605806
980	0.1414988265
981	0.1412426405
982	0.1410698627
983	0.1407668332
984	0.1406013918
985	0.1403427854
986	0.140192007
987	0.1400325019
988	0.1398423749
989	0.1396295002
990	0.1394703323
991	0.1392845596
992	0.1391080326
993	0.1389626872
994	0.1387879551
995	0.1386284
996	0.1383525023
997	0.1381357966
998	0.1378696753
999	0.137730354
